Participant,Clear,Specific,Contextually Relevant,Direct,Task-Oriented,Concise,Advanced Prompting Techniques,Total Score,Group
P1,1,1,1,1,1,1,0,6,3. More Effective Prompts
P2,1,1,1,1,0,0,0,4,2. Moderately Effective Prompts
P3,1,1,1,1,1,0,1,6,3. More Effective Prompts
P4,1,1,1,1,1,1,0,6,3. More Effective Prompts
P5,1,1,1,1,1,1,0,6,3. More Effective Prompts
P6,1,1,1,1,1,1,2,8,3. More Effective Prompts
P7,1,1,1,0,1,0,1,5,2. Moderately Effective Prompts
P8,1,1,1,0,1,1,1,6,3. More Effective Prompts
P9,1,1,1,1,0,1,0,5,2. Moderately Effective Prompts
P10,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P11,1,1,1,1,0,1,0,5,2. Moderately Effective Prompts
P12,1,1,1,1,1,0,0,5,2. Moderately Effective Prompts
P13,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P14,1,0,1,0,1,0,0,3,1. Less Effective Prompts
P15,1,1,1,1,1,1,0,6,3. More Effective Prompts
P16,1,1,1,1,1,0,0,5,2. Moderately Effective Prompts
P17,1,1,1,1,1,1,0,6,3. More Effective Prompts
P18,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P19,1,1,1,1,1,1,1,7,3. More Effective Prompts
P20,1,0,0,1,0,1,0,3,1. Less Effective Prompts
P21,1,1,1,1,1,1,0,6,3. More Effective Prompts
P22,1,1,1,1,1,1,0,6,3. More Effective Prompts
P23,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P24,0,0,1,0,0,1,0,2,1. Less Effective Prompts
P25,1,1,1,1,1,1,0,6,3. More Effective Prompts
P26,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P27,1,1,1,0,1,1,0,5,2. Moderately Effective Prompts
P28,1,0,1,0,1,0,0,3,1. Less Effective Prompts
P29,0,1,1,0,1,0,1,4,2. Moderately Effective Prompts
P30,1,1,1,1,1,1,0,6,3. More Effective Prompts
P31,1,0,1,1,1,1,0,5,2. Moderately Effective Prompts